date,open,high,low,close,volume,ticker,variation_pct,amplitude,ma_7,ma_21
2026-01-29,38.0,38.58,37.57,37.7,58722800,PETR4.SAO,-0.79,1.01,,
2026-01-30,37.23,37.98,37.02,37.76,45794700,PETR4.SAO,1.42,0.96,,
2026-02-02,36.78,37.24,36.62,37.24,38505600,PETR4.SAO,1.25,0.62,,
2026-02-03,37.51,38.32,37.14,37.58,57152800,PETR4.SAO,0.19,1.18,,
2026-02-04,37.45,37.68,36.97,37.52,37955800,PETR4.SAO,0.19,0.71,,
2026-02-05,37.4,37.61,36.9,37.0,35933100,PETR4.SAO,-1.07,0.71,,
2026-02-06,37.21,37.27,36.45,36.65,27681100,PETR4.SAO,-1.5,0.82,37.35,
2026-02-09,36.66,37.45,36.55,37.32,27089800,PETR4.SAO,1.8,0.9,37.3,
2026-02-10,37.32,37.58,36.91,37.35,24585300,PETR4.SAO,0.08,0.67,37.24,
2026-02-11,37.73,38.46,37.69,38.08,55863800,PETR4.SAO,0.93,0.77,37.36,
2026-02-12,38.05,38.05,36.8,37.11,39856000,PETR4.SAO,-2.47,1.25,37.29,
2026-02-13,37.16,37.16,36.53,36.89,27507000,PETR4.SAO,-0.73,0.63,37.2,
2026-02-18,37.07,37.39,36.85,37.19,32276700,PETR4.SAO,0.32,0.54,37.23,
2026-02-19,37.5,38.24,37.44,37.81,48355000,PETR4.SAO,0.83,0.8,37.39,
2026-02-20,37.67,37.97,37.45,37.97,51949800,PETR4.SAO,0.8,0.52,37.49,
2026-02-23,37.97,39.25,37.85,38.59,55061500,PETR4.SAO,1.63,1.4,37.66,
2026-02-24,38.86,39.66,38.86,39.57,43263600,PETR4.SAO,1.83,0.8,37.88,
2026-02-25,39.94,39.97,39.03,39.57,26012300,PETR4.SAO,-0.93,0.94,38.23,
2026-02-26,39.3,39.8,38.97,39.61,29919100,PETR4.SAO,0.79,0.83,38.62,
2026-02-27,39.92,40.27,39.33,39.33,38799000,PETR4.SAO,-1.48,0.94,38.92,
2026-03-02,41.3,41.53,40.52,41.13,83817000,PETR4.SAO,-0.41,1.01,39.4,38.05
2026-03-03,41.7,42.0,40.75,40.95,93893800,PETR4.SAO,-1.8,1.25,39.82,38.2
2026-03-04,40.95,41.17,39.93,40.5,50915600,PETR4.SAO,-1.1,1.24,40.09,38.33
2026-03-05,40.53,40.77,39.98,40.69,53107600,PETR4.SAO,0.39,0.79,40.25,38.5
2026-03-06,41.9,43.12,41.42,42.16,87228000,PETR4.SAO,0.62,1.7,40.62,38.71
2026-03-09,43.25,44.27,42.67,43.16,107124400,PETR4.SAO,-0.21,1.6,41.13,38.98
2026-03-10,42.31,43.1,42.03,42.93,56706200,PETR4.SAO,1.47,1.07,41.65,39.26
2026-03-11,43.25,44.88,43.23,44.8,73234300,PETR4.SAO,3.58,1.65,42.17,39.65
2026-03-12,45.39,46.09,44.2,45.0,86124400,PETR4.SAO,-0.86,1.89,42.75,40.02
2026-03-13,44.61,45.34,44.29,44.67,42520400,PETR4.SAO,0.13,1.05,43.34,40.37
2026-03-16,44.88,45.99,44.8,45.86,40474100,PETR4.SAO,2.18,1.19,44.08,40.74
2026-03-17,45.85,47.26,45.8,46.38,51025600,PETR4.SAO,1.16,1.46,44.69,41.18
2026-03-18,46.7,47.15,46.55,47.0,55074700,PETR4.SAO,0.64,0.6,45.23,41.66
2026-03-19,47.2,48.13,46.69,46.78,84865000,PETR4.SAO,-0.89,1.44,45.78,42.12
2026-03-20,46.79,47.25,44.92,45.67,78125700,PETR4.SAO,-2.39,2.33,45.91,42.49
2026-03-23,44.42,46.18,44.32,46.03,65252400,PETR4.SAO,3.62,1.86,46.06,42.88
2026-03-24,46.4,47.95,46.37,47.27,57455300,PETR4.SAO,1.88,1.58,46.43,43.29
2026-03-25,46.5,47.55,46.3,47.5,40532900,PETR4.SAO,2.15,1.25,46.66,43.67
2026-03-26,47.6,48.47,47.52,48.02,59986800,PETR4.SAO,0.88,0.95,46.9,44.07
2026-03-27,48.5,49.44,48.13,49.41,54170900,PETR4.SAO,1.88,1.31,47.24,44.54
2026-03-30,49.75,50.69,49.49,49.67,51454300,PETR4.SAO,-0.16,1.2,47.65,45.03
2026-03-31,50.07,50.55,47.65,48.67,78931700,PETR4.SAO,-2.8,2.9,48.08,45.39
2026-04-01,47.7,48.07,46.77,47.37,66488400,PETR4.SAO,-0.69,1.3,48.27,45.69
2026-04-02,49.3,49.46,47.95,48.15,38536900,PETR4.SAO,-2.33,1.51,48.4,46.06
2026-04-06,47.99,49.0,47.88,48.94,27848100,PETR4.SAO,1.98,1.12,48.6,46.45
2026-04-07,49.09,49.56,48.4,48.51,33362800,PETR4.SAO,-1.18,1.16,48.67,46.75
2026-04-08,44.7,46.64,44.53,46.61,87580500,PETR4.SAO,4.27,2.11,48.27,46.92
2026-04-09,47.54,48.55,47.03,47.9,58206500,PETR4.SAO,0.76,1.52,48.02,47.15
2026-04-10,47.53,49.03,47.53,49.03,42860900,PETR4.SAO,3.16,1.5,48.07,47.35
2026-04-13,49.75,50.24,49.25,49.78,60941100,PETR4.SAO,0.06,0.99,48.42,47.58
2026-04-14,49.61,49.65,47.67,47.88,58646800,PETR4.SAO,-3.49,1.98,48.38,47.73
2026-04-15,47.95,48.1,46.73,46.89,61852100,PETR4.SAO,-2.21,1.37,48.09,47.78
2026-04-16,47.29,48.68,46.76,48.58,54484300,PETR4.SAO,2.73,1.92,48.1,47.89
2026-04-17,46.5,46.55,44.87,46.22,105186900,PETR4.SAO,-0.6,1.68,48.04,47.85
2026-04-20,47.24,47.48,46.51,47.02,41904500,PETR4.SAO,-0.47,0.97,47.91,47.86
2026-04-22,47.64,47.98,47.25,47.67,51063000,PETR4.SAO,0.06,0.73,47.72,47.96
2026-04-23,47.36,48.08,46.9,47.77,38666800,PETR4.SAO,0.87,1.18,47.43,48.04
2026-04-24,47.5,47.52,46.45,47.16,34880200,PETR4.SAO,-0.72,1.07,47.33,48.04
2026-04-27,47.22,48.17,47.17,47.37,31543600,PETR4.SAO,0.32,1.0,47.4,48.03
2026-04-28,47.65,48.04,47.46,47.52,29389700,PETR4.SAO,-0.27,0.58,47.25,48.01
2026-04-29,48.1,49.3,48.0,48.96,47685000,PETR4.SAO,1.79,1.3,47.64,47.98
2026-04-30,48.81,49.38,48.29,49.08,36666100,PETR4.SAO,0.55,1.09,47.93,47.96
2026-05-04,49.28,49.85,48.92,49.34,41319600,PETR4.SAO,0.12,0.93,48.17,47.99
2026-05-05,48.88,49.03,48.33,48.66,28066500,PETR4.SAO,-0.45,0.7,48.3,48.05
2026-05-06,46.71,47.49,46.59,47.27,62009100,PETR4.SAO,1.2,0.9,48.31,48.01
2026-05-07,46.4,46.65,45.2,46.22,71214500,PETR4.SAO,-0.39,1.45,48.15,47.88
2026-05-08,46.39,46.55,45.67,45.67,32914200,PETR4.SAO,-1.55,0.88,47.89,47.74
2026-05-11,46.21,46.51,45.65,46.43,50622200,PETR4.SAO,0.48,0.86,47.52,47.73
2026-05-12,46.25,46.25,45.4,45.68,81072700,PETR4.SAO,-1.23,0.85,47.04,47.63
2026-05-13,45.77,45.83,44.36,44.57,57251900,PETR4.SAO,-2.62,1.47,46.36,47.42
2026-05-14,44.46,45.37,44.38,45.0,47760000,PETR4.SAO,1.21,0.99,45.83,47.19
2026-05-15,45.39,45.54,44.98,45.47,59380500,PETR4.SAO,0.18,0.56,45.58,47.07
2026-05-18,45.1,46.46,44.47,46.44,57388200,PETR4.SAO,2.97,1.99,45.61,47.05
2026-05-19,45.99,46.3,45.59,46.09,40943000,PETR4.SAO,0.22,0.71,45.67,46.93
2026-05-20,45.77,46.41,44.54,44.6,52780200,PETR4.SAO,-2.56,1.87,45.41,46.86
2026-05-21,45.1,45.65,44.5,44.95,57725900,PETR4.SAO,-0.33,1.15,45.3,46.76
2026-05-22,44.74,44.75,43.87,44.48,39634300,PETR4.SAO,-0.58,0.88,45.29,46.61
2026-05-25,43.49,43.82,42.97,43.4,26720900,PETR4.SAO,-0.21,0.85,45.06,46.4
2026-05-26,43.36,43.8,43.16,43.44,36040500,PETR4.SAO,0.18,0.64,44.77,46.22
2026-05-27,42.25,43.19,42.15,42.82,53745400,PETR4.SAO,1.35,1.04,44.25,46.0
2026-05-28,43.1,43.18,42.25,42.51,37534800,PETR4.SAO,-1.37,0.93,43.74,45.77
2026-05-29,42.2,42.35,41.82,42.0,73281800,PETR4.SAO,-0.47,0.53,43.37,45.43
2026-06-01,42.4,43.02,41.96,42.37,73925300,PETR4.SAO,-0.07,1.06,43.0,45.11
2026-06-02,41.9,41.98,41.44,41.57,27318300,PETR4.SAO,-0.79,0.54,42.59,44.74
2026-06-03,41.65,41.87,41.25,41.25,42895100,PETR4.SAO,-0.96,0.62,42.28,44.39
2026-06-05,41.03,41.43,40.65,40.89,34730900,PETR4.SAO,-0.34,0.78,41.92,44.09
2026-06-08,41.2,41.32,40.83,41.22,34043600,PETR4.SAO,0.05,0.49,41.69,43.85
2026-06-09,40.88,41.37,40.7,41.17,56680400,PETR4.SAO,0.71,0.67,41.5,43.64
2026-06-10,41.21,42.04,41.01,41.65,44953200,PETR4.SAO,1.07,1.03,41.45,43.41
2026-06-11,41.65,42.15,41.16,41.76,52321500,PETR4.SAO,0.26,0.99,41.36,43.22
2026-06-12,41.06,41.53,40.82,41.18,34082200,PETR4.SAO,0.29,0.71,41.3,43.06
2026-06-15,39.84,39.92,39.06,39.06,54174000,PETR4.SAO,-1.96,0.86,40.99,42.78
2026-06-16,38.45,38.78,38.2,38.54,36250100,PETR4.SAO,0.23,0.58,40.65,42.45
2026-06-17,38.71,38.86,38.27,38.57,66882000,PETR4.SAO,-0.36,0.59,40.28,42.07
2026-06-18,38.3,39.09,37.41,38.85,53332600,PETR4.SAO,1.44,1.68,39.94,41.73
2026-06-19,38.86,39.11,38.62,38.8,44775800,PETR4.SAO,-0.15,0.49,39.54,41.45
2026-06-22,38.75,39.21,38.48,39.17,35488200,PETR4.SAO,1.08,0.73,39.17,41.18
2026-06-23,38.96,39.57,38.84,39.33,27398600,PETR4.SAO,0.95,0.73,38.9,40.93
2026-06-24,38.9,38.98,38.13,38.29,59191400,PETR4.SAO,-1.57,0.85,38.79,40.69
2026-06-25,38.12,38.67,37.92,38.45,25132000,PETR4.SAO,0.87,0.75,38.78,40.45
